apn,address,city,state,zip,owner,phone,email,value,type,dnc,status,mail_addr,mail_zip,beds,baths,sqft,lot_sqft,year_built,years_owned,property_type,lat,lon
7473-004-063,2305 Aviation Blvd,Torrance,CA,90503,E. Fixture,,,974000,Owner,,new,2305 Aviation Blvd,90503,3,2,1780,5600,1979,4,Single Family,33.832777,-118.348384
7172-008-093,904 Deep Valley Dr,Torrance,CA,90503,C. Demoworth,,,2294000,Owner,,new,904 Deep Valley Dr,90503,5,5,4660,23600,1958,41,Single Family,33.81998,-118.328936
7720-034-036,1224 Rolling Hills Rd,Palos Verdes Estates,CA,90274,F. Sample,,,2006000,Owner,,new,1224 Rolling Hills Rd,90274,3,2,1600,7100,1997,8,Single Family,33.788881,-118.410043
7434-019-069,4862 Camino Real,Redondo Beach,CA,90277,A. Testerman,,,2170000,Owner,,new,4862 Camino Real,90277,5,4,3580,15500,1976,34,Single Family,33.853556,-118.382038
7769-033-043,2108 Rolling Hills Rd,Torrance,CA,90503,C. Placeholder,,,1612000,Owner,,new,2108 Rolling Hills Rd,90503,4,3,3020,15500,1972,32,Single Family,33.853614,-118.338184
7422-030-048,6433 Camino Real,Redondo Beach,CA,90277,D. Sample,,,1349000,Owner,,new,6433 Camino Real,90277,2,1,1280,3600,2006,2,Single Family,33.847155,-118.396856
7162-027-064,2297 Anza Ave,Rancho Palos Verdes,CA,90275,H. Example,,,2305000,Owner,,new,2297 Anza Ave,90275,5,4,3790,18300,2005,21,Condo,33.762311,-118.375822
7610-016-029,3807 Highland Ave,Redondo Beach,CA,90277,L. Example,,,2212000,Owner,,new,3807 Highland Ave,90277,5,4,3760,19200,1977,26,Single Family,33.859853,-118.380751
7645-019-025,1021 Camino Real,Rolling Hills Estates,CA,90274,E. Stubbs,,,1472000,Owner,,new,1021 Camino Real,90274,2,2,1220,3200,1960,29,Single Family,33.788964,-118.363453
7332-009-017,4327 Calle Mayor,Redondo Beach,CA,90277,K. Placeholder,,,1609000,Absentee,,new,5103 Main St,91403,4,3,2570,13700,1948,27,Single Family,33.845284,-118.382343
7889-013-011,1496 Anza Ave,Rancho Palos Verdes,CA,90275,A. Stubbs,,,2149000,Owner,,new,1496 Anza Ave,90275,5,4,4140,11600,1955,16,Condo,33.75786,-118.393692
7152-006-083,786 Crenshaw Blvd,Redondo Beach,CA,90277,K. Demoworth,,,1247000,Absentee,,new,3361 Wilshire Blvd,89109,3,2,1780,5500,1978,31,Single Family,33.855332,-118.402334
7337-022-038,370 Aviation Blvd,Manhattan Beach,CA,90266,L. Demoworth,,,2562000,Owner,,new,370 Aviation Blvd,90266,4,4,2330,9100,2002,31,Single Family,33.883092,-118.397551
7256-028-064,4765 Via Campesina,Manhattan Beach,CA,90266,L. Sampleton,,,2396000,Owner,,new,4765 Via Campesina,90266,2,2,1470,2400,1958,11,Single Family,33.90231,-118.413718
7994-025-046,3053 Hawthorne Blvd,Redondo Beach,CA,90277,D. Demoworth,,,1927000,Owner,,new,3053 Hawthorne Blvd,90277,5,4,3780,18200,1994,12,Single Family,33.854653,-118.382181
7394-001-092,2432 Anza Ave,Redondo Beach,CA,90277,K. Sample,,,1401000,Owner,,new,2432 Anza Ave,90277,2,2,1580,6800,1956,31,Single Family,33.852887,-118.371643
7807-033-012,1688 Hawthorne Blvd,Manhattan Beach,CA,90266,H. Sample,,,2811000,Absentee,,new,7784 Ventura Blvd,91403,4,4,2940,15800,1979,31,Single Family,33.871725,-118.402956
7649-029-034,158 Hawthorne Blvd,Rolling Hills Estates,CA,90274,B. Sample,,,2075000,Owner,,new,158 Hawthorne Blvd,90274,4,3,2930,15100,1961,40,Single Family,33.788684,-118.375143
7756-033-064,1136 Calle Mayor,Rolling Hills Estates,CA,90274,M. Testerman,,,2070000,Owner,,new,1136 Calle Mayor,90274,4,4,2470,10300,2010,16,Single Family,33.789761,-118.34137
7441-020-070,3411 Calle Mayor,Torrance,CA,90503,D. Testerman,,,2526000,Owner,,new,3411 Calle Mayor,90503,5,5,4560,21800,2016,4,Single Family,33.852773,-118.336393
7707-031-056,2439 Via Campesina,Palos Verdes Estates,CA,90274,B. Testerman,,,3272000,Owner,,new,2439 Via Campesina,90274,5,4,3790,10600,1967,11,Single Family,33.76218,-118.395295
7138-037-048,4587 Granvia Altamira,Manhattan Beach,CA,90266,E. Testerman,,,3148000,Owner,,new,4587 Granvia Altamira,90266,3,2,1680,4400,1991,39,Single Family,33.886553,-118.408548
7650-007-052,3370 Camino Real,Manhattan Beach,CA,90266,E. Sample,,,3576000,Absentee,,new,1519 Ventura Blvd,89109,5,5,4300,10900,2017,15,Single Family,33.876977,-118.402794
7168-020-002,1606 Granvia Altamira,Manhattan Beach,CA,90266,H. Fixture,,,2927000,Owner,,new,1606 Granvia Altamira,90266,4,3,2860,9200,1987,3,Single Family,33.877242,-118.411807
7944-024-071,1486 Calle Mayor,Rancho Palos Verdes,CA,90275,M. Sampleton,,,1550000,Owner,,new,1486 Calle Mayor,90275,3,2,2290,9300,2014,12,Single Family,33.759642,-118.374033
7921-032-020,3898 Vista Del Mar,Palos Verdes Estates,CA,90274,J. Mockton,,,1936000,Owner,,new,3898 Vista Del Mar,90274,2,1,1520,7500,2008,22,Single Family,33.777556,-118.392442
7605-007-024,3717 Prospect Ave,Torrance,CA,90503,B. Example,,,1203000,Owner,,new,3717 Prospect Ave,90503,4,3,3030,14700,2006,31,Single Family,33.840711,-118.329441
7351-016-088,3021 Palos Verdes Dr,Manhattan Beach,CA,90266,L. Placeholder,,,3262000,Owner,,new,3021 Palos Verdes Dr,90266,4,3,2900,14600,1989,37,Condo,33.896013,-118.42828
7838-021-005,5171 Rolling Hills Rd,Torrance,CA,90503,A. Dummett,,,1092000,Owner,,new,5171 Rolling Hills Rd,90503,4,3,2400,6700,1953,21,Single Family,33.837362,-118.357987
7760-019-051,786 Palos Verdes Dr,Redondo Beach,CA,90277,E. Fixture,,,1699000,Owner,,new,786 Palos Verdes Dr,90277,4,3,2560,7400,1964,15,Single Family,33.85757,-118.403489
7301-023-017,1898 Vista Del Mar,Torrance,CA,90503,F. Stubbs,,,1168000,Owner,,new,1898 Vista Del Mar,90503,4,4,2750,13900,1955,34,Single Family,33.828335,-118.349126
7161-018-083,383 Hawthorne Blvd,Rancho Palos Verdes,CA,90275,J. Testerman,,,2030000,Owner,,new,383 Hawthorne Blvd,90275,4,3,2670,12200,2014,38,Single Family,33.746033,-118.397205
7705-026-045,1855 Via Campesina,Manhattan Beach,CA,90266,E. Mockton,,,2353000,Absentee,,new,1544 Ventura Blvd,94105,2,1,1510,4700,2018,36,Condo,33.892127,-118.424558
7694-017-068,6024 Esplanade,Redondo Beach,CA,90277,G. Demoworth,,,2139000,Owner,,new,6024 Esplanade,90277,5,4,4180,19500,1948,29,Single Family,33.857471,-118.385637
7215-024-002,2574 Aviation Blvd,Redondo Beach,CA,90277,H. Sampleton,,,1486000,Owner,,new,2574 Aviation Blvd,90277,3,2,1990,6300,2009,23,Single Family,33.843207,-118.395613
7202-010-060,888 Crenshaw Blvd,Palos Verdes Estates,CA,90274,B. Fixture,,,2440000,Owner,,new,888 Crenshaw Blvd,90274,4,4,3160,15200,1985,3,Single Family,33.76467,-118.406993
7456-019-036,1127 Aviation Blvd,Rancho Palos Verdes,CA,90275,K. Stubbs,,,1659000,Absentee,,new,7526 Ventura Blvd,91403,3,2,2100,9400,1954,31,Single Family,33.730622,-118.37365
7815-002-096,5870 Aviation Blvd,Rolling Hills Estates,CA,90274,K. Sampleton,,,2639000,Absentee,,new,7598 Wilshire Blvd,94105,5,5,4170,18900,2008,40,Single Family,33.789367,-118.339607
7260-004-037,2746 Rolling Hills Rd,Torrance,CA,90503,K. Sample,,,1569000,Owner,,new,2746 Rolling Hills Rd,90503,5,4,3740,13400,1988,4,Single Family,33.8321,-118.340067
7712-001-046,6374 Calle Mayor,Manhattan Beach,CA,90266,E. Mockton,,,3506000,Owner,,new,6374 Calle Mayor,90266,4,4,3110,14700,1951,7,Condo,33.887471,-118.406587
7748-030-032,5044 Rolling Hills Rd,Palos Verdes Estates,CA,90274,J. Sample,,,2818000,Owner,,new,5044 Rolling Hills Rd,90274,5,5,3510,13000,2008,32,Condo,33.768262,-118.393683
7584-020-096,122 Crenshaw Blvd,Torrance,CA,90503,H. Mockton,,,1915000,Absentee,,new,1387 Wilshire Blvd,90210,5,4,3500,9600,1997,32,Single Family,33.850553,-118.338159
7477-033-018,6531 Deep Valley Dr,Palos Verdes Estates,CA,90274,A. Sample,,,1820000,Absentee,,new,6563 Main St,90210,2,2,1500,6500,1979,15,Single Family,33.768292,-118.399635
7843-005-085,835 Aviation Blvd,Rancho Palos Verdes,CA,90275,J. Example,,,2785000,Owner,,new,835 Aviation Blvd,90275,5,5,4180,17600,2008,4,Condo,33.729193,-118.397608
7954-033-054,857 Camino Real,Rolling Hills Estates,CA,90274,D. Sample,,,3125000,Owner,,new,857 Camino Real,90274,5,4,4620,23100,2014,12,Single Family,33.771709,-118.347987
7582-035-044,5440 Rolling Hills Rd,Rolling Hills Estates,CA,90274,M. Example,,,3296000,Absentee,,new,1921 Main St,90210,5,5,4400,18200,1950,39,Single Family,33.789213,-118.368588
7471-036-033,5990 Granvia Altamira,Manhattan Beach,CA,90266,C. Fixture,,,3784000,Owner,,new,5990 Granvia Altamira,90266,4,3,3140,8500,1985,12,Single Family,33.878769,-118.427804
7801-031-078,4550 Calle Mayor,Rolling Hills Estates,CA,90274,K. Dummett,,,1810000,Owner,,new,4550 Calle Mayor,90274,2,1,1370,2400,1956,3,Condo,33.773629,-118.369583
7138-024-016,4597 Rolling Hills Rd,Redondo Beach,CA,90277,M. Demoworth,,,1123000,Owner,,new,4597 Rolling Hills Rd,90277,2,2,1430,6900,1998,3,Single Family,33.865626,-118.372073
7650-029-086,671 Palos Verdes Dr,Redondo Beach,CA,90277,K. Sampleton,,,1887000,Owner,,new,671 Palos Verdes Dr,90277,5,4,3490,7300,1975,5,Single Family,33.843715,-118.374513
7547-010-035,5876 Prospect Ave,Redondo Beach,CA,90277,H. Sample,,,2188000,Owner,,new,5876 Prospect Ave,90277,5,4,3640,19000,2015,40,Single Family,33.85135,-118.387273
7979-001-030,2512 Rolling Hills Rd,Palos Verdes Estates,CA,90274,C. Dummett,,,2633000,Owner,,new,2512 Rolling Hills Rd,90274,5,4,4070,7200,2004,40,Condo,33.765621,-118.407154
7819-010-095,2305 Silver Spur Rd,Manhattan Beach,CA,90266,J. Example,,,2001000,Owner,,new,2305 Silver Spur Rd,90266,2,2,1510,3200,2016,30,Single Family,33.88217,-118.397471
7178-022-049,3816 Palos Verdes Dr,Manhattan Beach,CA,90266,C. Dummett,,,3991000,Owner,,new,3816 Palos Verdes Dr,90266,4,3,3030,13900,1959,22,Single Family,33.895217,-118.401824
7359-007-097,5823 Granvia Altamira,Rolling Hills Estates,CA,90274,F. Example,,,2376000,Absentee,,new,1248 Ventura Blvd,94105,4,3,3170,17400,1963,40,Single Family,33.787821,-118.352573
7974-019-013,1759 Silver Spur Rd,Redondo Beach,CA,90277,G. Dummett,,,1229000,Owner,,new,1759 Silver Spur Rd,90277,2,1,1450,7500,1987,18,Single Family,33.839882,-118.388566
